Unnamed: 0,source,question,answer,img_id,landmark_location,landmark_color
3649,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gles4cb071u30p914fw,center-right; lower-rigth,
3864,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glfs4dr071u4szgddq4,center-left; lower-left,
4120,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glgs4ff071u8us5dw3j,upper-center,
4155,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glgs4fn071u5ifkd24r,center; center-left,
4202,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glgs4fz071ucke45065,center-left; upper-center; upper-left,
4756,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glis4jj071ub5c57d9g,lower-center,
5516,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glms4oj071uf2agdqy3,none,
5546,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glms4or071u3gr770w6,none,
5625,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glns4pb071u9oqm4npr,upper-center; upper-left,
5645,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glns4pf071uaocdg34x,center; lower-center,
5943,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glos4rb071uhwed5mbb,center; lower-center,
5956,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glos4rf071u3785a7n1,upper-center; upper-left,
6010,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glos4rr071u0ozt8mdm,center; lower-center; upper-center,
6021,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glps4rv071u8ch490cp,center; center-right,
6045,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glps4rz071u6kspddxw,upper-center; upper-right,
6226,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glps4t7071u9hr68bum,center-right; upper-right,
6270,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glqs4tf071uebf256qf,upper-center,
6288,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glqs4tn071u2kk21l0i,lower-center; lower-left,
6329,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glqs4tv071u6bvv5ncd,center; center-left; upper-left,
6340,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glqs4tz071udmfo1d5m,center; center-left; lower-center,
6388,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glqs4u7071u4pgn24jp,center,
6422,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glqs4uf071ua3t4a9iv,center; center-left; lower-center; lower-left,
6437,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glqs4uj071u9r4reg1m,center-left; upper-center; upper-left,
6451,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glqs4un071ug08jc5ar,lower-rigth; upper-right,
6465,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glrs4ur071ufq038xj6,center-right,
6501,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glrs4uz071u7ewk3y5a,lower-left,
6510,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glrs4v3071u41toe6lv,upper-center; upper-left,
6555,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glrs4vb071u5cwo55c1,center-left; lower-left,
6570,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glrs4vf071u1j3n0v9l,center-left; upper-left,
6589,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glrs4vj071ucq6z2u3z,center; center-left; upper-center; upper-left,
6599,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glrs4vn071u7yachvbo,center-right; lower-rigth,
6629,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glss4vv071u4yuq7en0,center; center-left,
6658,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glss4vz071ua1jw6jco,center; center-left; lower-center; lower-left,
6677,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glss4w3071u08lkfmgu,center; center-right; upper-center; upper-right,
6680,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glss4w7071u3x1d69h6,center; center-left; upper-center; upper-left,
6718,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glss4wf071u3tu616sq,center-left; upper-left,
6757,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glss4wn071ugbqr124v,center; lower-center,
6765,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glss4wr071u9rbsg5ki,center,
6787,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glss4wv071u9ine5505,center; center-right; lower-center; lower-rigth; upper-center; upper-right,
6806,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glss4wz071u7qgp9jb8,center-right; upper-right,
6816,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glts4x3071ufc7p0x89,center; upper-center,
6843,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glts4x7071u15zj93it,center-left,
6860,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glts4xb071uaie56hx1,center-left; upper-left,
6881,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glts4xf071uhw7u4dwm,upper-center,
6884,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glts4xj071u5m9x8znu,center; center-left; lower-center; lower-left,
6914,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glts4xn071u7oh30ira,lower-left,
6929,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glts4xr071u9foy06vh,center; center-right; lower-center; lower-rigth,
6947,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glts4xv071ufq9pdvhl,center; center-right; lower-center; lower-rigth,
6955,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glts4xz071u6b7n1x9y,center; center-right; lower-center; lower-rigth,
6977,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glts4y3071u46ye8u85,center; lower-center,
6994,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glus4y7071u0i1774qp,center; lower-center,
7009,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glus4yb071u71nia0yw,center; lower-center,
7019,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glus4yf071ufp7e4p4s,center; lower-center,
7039,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glus4yj071udps24xeu,lower-center; lower-rigth,
7067,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glus4yn071uhk5o6ktu,center,
7079,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glus4yr071ucrs636hg,center; center-right; lower-center; lower-rigth,
7095,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glus4yv071u40q92273,center,
7105,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glus4yz071ugct55hvr,center; center-right; upper-center; upper-right,
7123,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glus4z3071uhi6tfu56,center; center-right; upper-center; upper-right,
7147,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glus4z7071u8ibo003f,center-right,
7211,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glvs4zn071u8dpb59co,center,
7264,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glvs4zz071u0v2zdenk,upper-center,
7381,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glws50r071ucawv6lg5,center; lower-center,
7399,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glws50v071u2l7oeiz3,center; center-left; lower-center; lower-left,
7410,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glws50z071u300wha1x,center; center-right; upper-center; upper-right,
7462,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glws51b071u5gzk6x1i,center; center-left; lower-center; lower-left,
7487,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820glws51f071u3fvq7lru,center; upper-center,
8882,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gm4s5aj071u7scsdwmm,lower-center; lower-left,
8924,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gm4s5av071uaaahh9j3,center; center-right; lower-center; lower-rigth,
8956,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gm5s5az071ue4o4fgse,upper-center; upper-left,
8958,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gm5s5b3071uc8r7gnts,center-left; upper-left,
8976,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gm5s5b7071ubt3dd1vj,upper-right,
9006,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gm5s5bb071u0cc7gqjg,upper-left,
9013,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gm5s5bf071u6yppfvdo,center-right; upper-right,
9150,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gm6s5cb071u6dbacwxh,center-right; upper-right,
9192,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gm6s5cj071ucvqjgfy5,lower-center; lower-left,
9548,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gm8s5ev071uda60flrc,center; lower-center,
9554,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gm8s5ez071u424s0vjg,center-right; lower-rigth,
9908,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gm9s5h7071ud7kg0v0m,center; upper-center,
9939,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmas5hf071u8wl4hv2g,center,
9946,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmas5hj071u4wazety8,lower-center,
9964,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmas5hn071u5m0l1bk6,center; upper-center,
9994,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmas5hv071u5cph9r7y,lower-left,
10012,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmas5hz071u3wcp2jiq,center; lower-center,
10031,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmas5i3071u7q9ra7of,center; upper-center,
10065,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmas5ib071uajh4a5uu,lower-center,
10697,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmes5mf071u7mhk0wpr,center-left; upper-left,
10749,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmes5mr071uhlwuaian,center; center-right; lower-center; lower-rigth,
10779,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmes5mz071u10w11oe2,center; center-left; upper-center; upper-left,
10937,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmfs5nz071ucpw9dejr,upper-right,
10951,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmfs5o3071u2nyigw5j,lower-center,
10992,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmfs5ob071u4r09f589,center-left,
11020,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmfs5oj071u095r5i8n,lower-center,
11212,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmgs5pr071u61mf27n4,center-right; lower-rigth,
11222,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmgs5pv071ubu4gcmgh,upper-right,
11265,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmgs5q3071udmfyendc,center; upper-center,
11276,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmgs5q7071udblle3jw,upper-center; upper-right,
11335,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmhs5qj071u3snmf7ak,center,
11387,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmhs5qv071u9bum40jl,center; upper-center,
11839,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmjs5tv071u60pj46dt,center-right; lower-rigth,
12033,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmjs5v3071u9fltescr,center; center-left; lower-center; lower-left,
12072,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmks5vf071uhewahx6h,upper-center; upper-right,
12100,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmks5vj071udsjyg41r,center,
12131,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmks5vr071ubza08sdw,center; center-right; lower-center; lower-rigth,
12176,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmks5w3071ua58ygkgi,center-left; upper-left,
12191,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmks5w7071u5fdseyx2,center; center-left; upper-center; upper-left,
12449,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmls5xv071u4iiz09gv,center-left; upper-left,
12479,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmls5y3071ufytcckxb,center-right; lower-rigth; upper-right,
12660,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmms5z7071ub7pfau3k,center-left; upper-left,
12707,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmms5zj071u3igl0m5n,center; center-left; upper-center; upper-left,
12716,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmms5zn071u9lqc9ywi,center; upper-center,
12731,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmms5zr071ubsmqaxtm,center; lower-center,
12759,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmms5zv071u5yw05he4,upper-center; upper-right,
12771,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmms5zz071uchi02ycl,upper-center; upper-left,
12841,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmms60f071ug0ffbpq6,center-left; lower-left,
12856,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmms60j071uewclak33,center-right,
12966,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmns617071u4e4radys,upper-center; upper-left,
13651,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmqs65r071uc9zodhx6,center; lower-left; upper-center; upper-left,
13876,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmss677071u0i2h5sav,upper-center,
14047,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmss68b071u8m268bbr,center; center-left; upper-center; upper-left,
14636,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmvs6c7071u67zzc336,center-right; upper-right,
14650,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmvs6cb071ug7zn25qj,lower-center,
14905,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmxs6dz071u89c518b7,center; center-right; upper-center; upper-right,
14934,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gmxs6e3071u2ioi80b5,lower-center,
16710,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gn8s6pr071uaw0qdq4x,none,
16871,Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cla820gn9s6qv071u23moamvc,none,
18770,Polyps,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cl8k2u1pz1eaz0832c6w8a7jf,center,
19077,Polyps,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cl8k2u1q11edb08321lvz4fee,lower-center; lower-rigth,
25494,Polyps,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cl8k2u1rc1fwv0832dci26y6g,,
30343,Polyps,Are there any anatomical landmarks in the image? Check all that are present.,cecum,cl8k2u1st1gyj083285aq0ksj,center-left,
